"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000117479",264.991226017554,1.07574323694015,0.316783047809667,3.39583587056871,0.000684193732255269,0.00765296460487891,"SLC19A2"
"ENSG00000117480",29.7592363633795,0.282361692255925,0.410507065104149,0.687836376663304,0.491555825770706,0.764177066443989,"FAAH"
"ENSG00000117481",304.04285888252,-0.0146094520445577,0.145258997382458,-0.100575195394554,0.919887688049704,0.97862973556492,"NSUN4"
"ENSG00000117500",2249.75988525745,0.370911971091031,0.109250759394822,3.39505165131704,0.00068615654474668,0.00766925525475163,"TMED5"
"ENSG00000117501",0.26921551059835,1.7862987310989,3.51183999163274,0.508650375687649,0.610997311860403,NA,"MROH9"
"ENSG00000117505",1095.92288163377,0.0615086122078185,0.0949627876810123,0.647712790555717,0.517170729952272,0.781535691990337,"DR1"
"ENSG00000117507",4.98722146339594,-0.730969273654019,0.923261141775791,-0.791725374955216,0.428520823223244,NA,"FMO6P"
"ENSG00000117519",6549.88235677663,0.358180113545974,0.192994096674627,1.85591227772028,0.0634660626737707,0.235933608049646,"CNN3"
"ENSG00000117523",5541.12897113843,-0.30838188581282,0.127930430139358,-2.41054364842587,0.0159287652055097,0.091310048840819,"PRRC2C"
"ENSG00000117525",510.22179978867,0.415608223984349,0.325562193869604,1.27658626158175,0.20174835470063,0.48146220975061,"F3"
"ENSG00000117528",1027.06646936428,-0.0338208497203212,0.12083118022265,-0.279901674865718,0.779552942207088,0.928316504932092,"ABCD3"
"ENSG00000117533",1284.46744035338,-0.0497065049964279,0.107746851404449,-0.461326751998022,0.644564194501744,0.863022824443145,"VAMP4"
"ENSG00000117543",373.12141339415,-0.2173745914139,0.165339872480449,-1.31471367524856,0.188606148827044,0.464009116956721,"DPH5"
"ENSG00000117560",0.531786797579413,-2.46241293530068,3.4502800031214,-0.713684956894218,0.475422010466376,NA,"FASLG"
"ENSG00000117569",288.737514630801,-0.412399463257791,0.18197868706335,-2.26619649758341,0.0234393549956699,0.118844670709548,"PTBP2"
"ENSG00000117586",41.4859376305059,0.261771494017326,0.400037941975774,0.654366665132925,0.512875605422779,0.77900923118323,"TNFSF4"
"ENSG00000117592",3679.0181345896,0.44174409209941,0.11579426632597,3.81490471087633,0.000136235493202437,0.00205506627943318,"PRDX6"
"ENSG00000117593",316.355245158565,0.000684535453965697,0.116527466840868,0.00587445580448864,0.995312889368593,0.998507218770971,"DARS2"
"ENSG00000117594",777.221727278937,1.19843810872196,0.757145856283486,1.58283651528464,0.113458731569465,0.342628692882322,"HSD11B1"
"ENSG00000117595",65.8972227546937,0.388241761527646,0.715928537858186,0.542291221815424,0.587617901857805,0.828397386543467,"IRF6"
"ENSG00000117597",645.473138320234,0.232504847573509,0.162715545535351,1.42890371542893,0.153031909419949,0.410424697744843,"UTP25"
"ENSG00000117598",1.53553335308304,-0.92905974442247,1.36872318286877,-0.67877840899517,0.497278276163888,NA,"PLPPR5"
"ENSG00000117600",39.3685220739571,-2.02434021831487,0.608432170234362,-3.32714198451262,0.00087741654590824,0.00936467483282614,"PLPPR4"
"ENSG00000117601",2.16845152720339,0.40455721721429,1.16710407583022,0.346633368516435,0.728866773956432,NA,"SERPINC1"
"ENSG00000117602",341.260996487816,0.777889390672218,0.278203040797058,2.79612109358527,0.00517200177458207,0.0391699823778721,"RCAN3"
"ENSG00000117614",1159.14085026221,0.0700184898801839,0.115544317236334,0.605988174537118,0.544522605851099,0.799963133070846,"SYF2"
"ENSG00000117616",1504.01549494699,0.253553908549568,0.147281788091993,1.72155642482556,0.085149902550279,0.28499343074563,"RSRP1"
"ENSG00000117620",495.206354975869,0.402205984319725,0.138427909944486,2.90552667074885,0.00366635601505676,0.0299821608250727,"SLC35A3"
"ENSG00000117625",774.477689643928,-0.18997239401408,0.109944447293441,-1.72789439294778,0.0840071597749305,0.282982303111949,"RCOR3"
"ENSG00000117632",1229.93209595246,-0.0891482601021186,0.192230507529552,-0.463757086467732,0.642821792137447,0.86210187896363,"STMN1"
"ENSG00000117640",1257.75611720956,-0.0852227458681481,0.0784326987261872,-1.08657163724106,0.277226165410834,0.577999762547781,"MTFR1L"
"ENSG00000117643",979.32800204593,-0.42445691855493,0.252906006125954,-1.67831885472715,0.0932848691684904,0.303501470151834,"MAN1C1"
"ENSG00000117650",13.3846829670829,-0.303981807938401,0.542315001267013,-0.560526275740495,0.575120522356075,0.820495450570077,"NEK2"
"ENSG00000117676",6.78713956027015,0.251813929599677,0.688813391884795,0.365576413824708,0.714681177623951,NA,"RPS6KA1"
"ENSG00000117682",687.289101552548,0.167702489778095,0.0992268885939733,1.69009118550837,0.0910105109600511,0.298280499565023,"DHDDS"
"ENSG00000117691",751.53621027463,-0.0219990191247251,0.124669484196504,-0.176458732195044,0.859933566843104,0.960024610779804,"NENF"
"ENSG00000117697",369.693955393459,-0.252223994030165,0.113213508395518,-2.22786130034063,0.0258897655423346,0.127035478738086,"NSL1"
"ENSG00000117707",13.6443777868275,-0.56116791488443,0.836821053049224,-0.670594881473926,0.502478644138774,0.772459465908244,"PROX1"
"ENSG00000117713",1585.25829755935,-0.0217511999771275,0.100396450911512,-0.216653076673981,0.828478718770608,0.948613457003164,"ARID1A"
"ENSG00000117724",132.511853957514,-0.446981115579643,0.219662304616805,-2.03485580450132,0.0418653840659368,0.177257825462291,"CENPF"
"ENSG00000117748",548.587393074103,-0.204911278733953,0.311453633726873,-0.657919049721694,0.510590149080928,0.777252769909604,"RPA2"
"ENSG00000117751",739.977381952781,0.072672016333558,0.0885079602880894,0.821078873550062,0.411601342888749,0.706845504811124,"PPP1R8"
"ENSG00000117758",1730.78698028405,0.814249098308211,0.15246822930689,5.34045093859705,9.27156672201e-08,3.45007071264967e-06,"STX12"
"ENSG00000117791",313.959432994314,0.335148710210375,0.215501922051626,1.5552005616455,0.119898310597674,0.354937434324036,"MTARC2"
"ENSG00000117834",18.6553805999838,0.0646457674992372,0.445741962308679,0.145029575327417,0.884687520914525,0.966741197949187,"SLC5A9"
"ENSG00000117859",1580.71213985414,0.338235146022054,0.183752221353914,1.84071323617144,0.0656635932193743,0.241670745882728,"OSBPL9"
"ENSG00000117862",1105.26288439117,0.22037373084806,0.0879344565250244,2.50611352542273,0.0122066420468381,0.0750891932572556,"TXNDC12"
"ENSG00000117868",5021.73142995021,0.503198334263636,0.14074486977652,3.57525169523148,0.00034989111928594,0.00447559206214997,"ESYT2"
"ENSG00000117877",78.2181513229125,0.475089814407799,0.38460867475725,1.23525506726456,0.216735590641596,0.502649650551981,"POLR1G"
"ENSG00000117899",1684.26343541853,0.283246676193784,0.109592553018136,2.58454309524947,0.0097508117994833,0.0631904341904898,"MESD"
"ENSG00000117906",1699.1163364878,0.303659439110953,0.154085949697466,1.97071465443255,0.0487565233824895,0.197490651679006,"RCN2"
"ENSG00000117971",5.26016271673561,-0.390428018465267,0.930848604233573,-0.419432350964022,0.674900185118845,NA,"CHRNB4"
"ENSG00000117983",3.5132105448044,-5.17020627200803,2.69205091517066,-1.92054550041089,0.0547890316216682,NA,"MUC5B"
"ENSG00000117984",9124.71306937884,-0.0457419632814753,0.0616428022828704,-0.742048732171059,0.458057810278731,0.740371988972399,"CTSD"
"ENSG00000118004",3.26801988947452,-1.4437324446667,1.0435241477907,-1.38351608606596,0.16650667843074,NA,"COLEC11"
"ENSG00000118007",1907.21823937659,0.00698638322355625,0.133930804344522,0.0521641250326888,0.95839791807305,0.990104479222653,"STAG1"
"ENSG00000118017",6.36813798830134,-0.471271880750527,1.30601625155189,-0.360846873222696,0.7182139204111,NA,"A4GNT"
"ENSG00000118046",1090.2670494429,-0.0711310001918756,0.0910681931128065,-0.781074025524645,0.434758957793094,0.723881312200572,"STK11"
"ENSG00000118058",2778.81394006427,-0.259693134485448,0.14159426837166,-1.83406530131432,0.0666443013547292,0.243857923174045,"KMT2A"
"ENSG00000118094",4.34000847773509,1.64219337715386,1.15799727952747,1.4181323274127,0.156152134659748,NA,"TREH"
"ENSG00000118096",408.902646656435,-0.171971592512121,0.120465348714623,-1.42756065828949,0.153418354158045,0.411242650216566,"IFT46"
"ENSG00000118113",2.04743970406304,-0.49454701712981,1.55217730332395,-0.318615029398219,0.750018455174968,NA,"MMP8"
"ENSG00000118137",0.626861240889239,-0.270345300393978,2.96567429126197,-0.0911581225188888,0.927366949745544,NA,"APOA1"
"ENSG00000118156",4.90989489456548,-0.780493275225611,1.11130702660919,-0.702320111847982,0.482479553593348,NA,"ZNF541"
"ENSG00000118160",2.29948701253142,2.07404097473428,1.35891755737763,1.52624488768594,0.126948888304001,NA,"SLC8A2"
"ENSG00000118162",168.135741411191,0.0801042094796917,0.217294260375879,0.36864392709281,0.712393148980404,0.898177840192482,"KPTN"
"ENSG00000118181",4047.72133651272,-0.0238366885339271,0.143631833894593,-0.165956862678646,0.868190897928905,0.962595056357257,"RPS25"
"ENSG00000118193",20.4684266875337,-0.0524425043157307,0.462866757772867,-0.113299353291352,0.909793229938791,0.974939394850562,"KIF14"
"ENSG00000118194",8.23759085066107,2.54463859001075,0.8181052716591,3.11040483194819,0.00186831089324566,NA,"TNNT2"
"ENSG00000118197",237.026951294546,0.329362392544188,0.136835842169297,2.40698918735555,0.0160846460784342,0.0919946997197456,"DDX59"
"ENSG00000118200",1653.62374672517,0.00642145149381549,0.115245104634538,0.055719950224168,0.955564906210713,0.989260832465261,"CAMSAP2"
"ENSG00000118217",1357.51491069497,0.112716955775156,0.139072548635926,0.810490329549037,0.417658420786733,0.711682806347331,"ATF6"
